rank,name,position,team,adp,high,low,stdev,bye,source
1,Jahmyr Gibbs,RB,DET,1.5,1,4,0.7,6,ffc
2,Bijan Robinson,RB,ATL,2.1,1,4,0.7,11,ffc
3,Puka Nacua,WR,LAR,2.9,1,4,0.6,11,ffc
4,Ja'Marr Chase,WR,CIN,4.1,1,7,1.0,6,ffc
5,Jaxon Smith-Njigba,WR,SEA,5.3,2,8,1.3,11,ffc
6,Jonathan Taylor,RB,IND,5.8,3,10,1.3,13,ffc
7,Christian McCaffrey,RB,SF,6.7,3,11,1.5,8,ffc
8,Amon-Ra St. Brown,WR,DET,7.6,3,12,1.7,6,ffc
9,Drake London,WR,ATL,10.0,5,14,1.9,11,ffc
10,Derrick Henry,RB,BAL,10.1,5,15,1.7,13,ffc
11,James Cook III,RB,BUF,11.2,3,20,3.0,7,ffc
12,De'Von Achane,RB,MIA,11.2,6,18,2.0,6,ffc
13,CeeDee Lamb,WR,DAL,12.6,6,18,2.2,14,ffc
14,Rashee Rice,WR,KC,13.4,10,20,2.4,5,ffc
15,Justin Jefferson,WR,MIN,14.9,8,20,2.5,6,ffc
16,Ashton Jeanty,RB,LV,15.1,7,23,2.9,13,ffc
17,Chase Brown,RB,CIN,15.7,9,21,2.6,6,ffc
18,Saquon Barkley,RB,PHI,18.2,9,29,3.3,10,ffc
19,A.J. Brown,WR,NE,19.0,11,25,2.7,11,ffc
20,George Pickens,WR,DAL,19.4,14,24,2.3,14,ffc
21,Omarion Hampton,RB,LAC,21.8,11,32,3.9,7,ffc
22,Nico Collins,WR,HOU,22.9,15,31,3.1,8,ffc
23,Chris Olave,WR,NO,23.6,17,31,2.7,8,ffc
24,Josh Jacobs,RB,GB,24.0,16,31,3.4,11,ffc
25,Zay Flowers,WR,BAL,25.0,18,31,2.3,13,ffc
26,Kenneth Walker,RB,KC,25.7,14,37,4.2,5,ffc
27,Josh Allen,QB,BUF,26.6,7,43,7.3,7,ffc
28,Breece Hall,RB,NYJ,28.0,21,34,3.2,13,ffc
29,Malik Nabers,WR,NYG,29.4,18,44,4.3,8,ffc
30,Kyren Williams,RB,LAR,29.8,18,39,4.4,11,ffc
31,Jeremiyah Love,RB,ARI,30.0,19,38,3.9,14,ffc
32,Garrett Wilson,WR,NYJ,31.0,21,42,3.7,13,ffc
33,DeVonta Smith,WR,PHI,31.2,21,44,3.6,10,ffc
34,Emeka Egbuka,WR,TB,33.1,22,48,3.9,10,ffc
35,Cam Skattebo,RB,NYG,34.6,23,46,4.4,8,ffc
36,Tetairoa McMillan,WR,CAR,35.9,26,45,3.8,5,ffc
37,Javonte Williams,RB,DAL,36.2,25,47,4.2,14,ffc
38,Tee Higgins,WR,CIN,36.9,24,53,4.6,6,ffc
39,Davante Adams,WR,LAR,38.8,28,48,3.9,11,ffc
40,Jameson Williams,WR,DET,40.4,29,50,4.0,6,ffc
41,Travis Etienne Jr.,RB,NO,41.5,27,55,5.4,8,ffc
42,Trey McBride,TE,ARI,42.9,20,61,8.7,14,ffc
43,Terry McLaurin,WR,WAS,43.3,35,56,3.9,7,ffc
44,D'Andre Swift,RB,CHI,43.4,30,59,6.0,10,ffc
45,Brock Bowers,TE,LV,44.0,15,64,11.0,13,ffc
46,Ladd McConkey,WR,LAC,44.2,30,63,5.1,7,ffc
47,Rome Odunze,WR,CHI,44.8,32,60,4.7,10,ffc
